id,C,n_estimators,learning_rate,max_features,keep_percentage,latitude_oof,longitude_oof,oof
0.0,7.55,565.23,0.73,0.8,0.98,0.4452,0.5309,0.488
1.0,3.2,1503.72,0.87,0.8,0.53,0.4513,0.5373,0.4943
2.0,0.51,609.1,0.83,0.61,0.98,0.4443,0.5342,0.4892
3.0,3.75,795.09,0.53,0.72,0.65,0.4498,0.5362,0.493
4.0,12.28,1075.32,0.3,0.68,0.57,0.4512,0.5353,0.4932
5.0,15.73,378.97,0.52,0.8,0.6,0.4511,0.5362,0.4937
6.0,12.19,1941.57,0.07,0.97,0.59,0.45,0.535,0.4925
7.0,16.19,1048.26,0.11,0.84,0.65,0.4496,0.536,0.4928
8.0,2.53,739.93,0.04,0.95,0.75,0.4485,0.5332,0.4908
9.0,13.28,614.25,0.52,0.77,0.66,0.4493,0.5355,0.4924
10.0,19.39,1316.43,0.94,0.95,0.89,0.4462,0.532,0.4891
11.0,18.45,853.06,0.2,0.52,0.54,0.4517,0.5361,0.4939
12.0,7.83,777.59,0.83,0.68,0.64,0.4498,0.5363,0.4931
13.0,10.9,1977.71,0.8,0.54,0.57,0.4514,0.5347,0.493
14.0,15.47,1501.66,0.02,0.91,0.6,0.4491,0.5345,0.4918
15.0,14.61,496.98,0.08,0.68,0.89,0.4449,0.5312,0.488
16.0,0.14,485.33,0.24,0.96,0.98,0.4461,0.5358,0.4909
17.0,19.9,1779.78,0.87,0.99,0.89,0.4451,0.5316,0.4883
18.0,19.99,1773.05,0.17,0.88,0.95,0.4452,0.5316,0.4884
19.0,19.94,1812.88,0.99,0.77,0.99,0.4441,0.5316,0.4878
20.0,19.97,1733.09,0.94,0.52,0.88,0.4458,0.5318,0.4888
21.0,19.96,1842.2,1.0,0.57,0.96,0.4458,0.5312,0.4885
22.0,19.96,561.87,0.75,0.93,0.94,0.4447,0.5317,0.4882
23.0,19.95,576.85,1.0,0.62,0.92,0.4448,0.531,0.4879
24.0,19.88,555.56,0.8,0.53,0.99,0.4449,0.5312,0.4881
25.0,19.98,1999.69,0.86,0.67,0.81,0.4472,0.5342,0.4907
26.0,19.86,569.17,0.97,0.72,0.98,0.4451,0.531,0.488
27.0,19.96,565.83,0.99,0.56,0.89,0.4452,0.5321,0.4886
28.0,19.99,1823.06,0.13,0.59,0.99,0.4443,0.5314,0.4879
29.0,19.99,1796.27,1.0,0.58,0.58,0.4518,0.5365,0.4941
30.0,19.68,547.85,0.01,0.69,0.93,0.4447,0.5302,0.4874
31.0,19.97,549.87,0.13,0.92,0.99,0.4439,0.5303,0.4871
32.0,19.53,560.14,0.11,0.92,0.99,0.4437,0.5299,0.4868
33.0,19.9,563.31,0.1,0.85,0.94,0.4439,0.5315,0.4877
34.0,19.57,571.72,0.03,0.99,1.0,0.4445,0.5301,0.4873
35.0,19.82,570.55,0.02,0.89,0.71,0.4496,0.534,0.4918
36.0,19.55,541.27,0.03,1.0,0.96,0.4445,0.5302,0.4874
37.0,19.87,528.11,0.13,1.0,0.95,0.4437,0.5318,0.4878
38.0,19.97,538.14,0.99,0.87,0.97,0.4445,0.531,0.4878
39.0,19.89,583.23,0.14,0.98,0.96,0.4445,0.5312,0.4878
40.0,19.71,524.61,0.96,0.52,0.97,0.4453,0.531,0.4882
41.0,19.64,564.39,0.21,0.96,0.99,0.4443,0.5309,0.4876
42.0,19.82,575.4,0.03,0.84,0.9,0.4444,0.5316,0.488
43.0,19.77,577.56,0.02,0.61,0.99,0.4449,0.5297,0.4873
44.0,19.9,534.16,0.26,0.93,1.0,0.4442,0.5304,0.4873
45.0,19.79,564.44,0.1,0.52,0.97,0.4441,0.5306,0.4873
46.0,19.79,554.06,0.21,0.99,0.98,0.4435,0.5305,0.487
47.0,19.82,524.43,0.02,0.72,0.97,0.4436,0.5304,0.48700000000000004
48.0,19.99,546.09,0.03,1.0,0.97,0.4447,0.5302,0.4874
49.0,19.69,534.87,0.05,0.51,0.97,0.4439,0.5299,0.4869
50.0,19.98,566.52,0.02,0.79,0.97,0.444,0.5305,0.4873
