id,C,n_estimators,learning_rate_hist,learning_rate_cat,max_leaf_nodes,keep_percentage,latitude_oof,longitude_oof,oof
0.0,7.55,396.0,0.6,0.73,13.0,0.98,0.4489,0.532,0.4904
1.0,1.26,1942.0,0.71,0.61,5.0,0.93,0.4484,0.5352,0.4918
2.0,16.67,1097.0,0.19,0.19,22.0,0.61,0.4444,0.5286,0.4865
3.0,8.7,796.0,0.15,0.62,21.0,0.65,0.4478,0.5334,0.4906
4.0,9.18,188.0,0.52,0.21,39.0,0.89,0.4448,0.5266,0.4857
5.0,12.19,1635.0,0.95,0.07,61.0,0.59,0.4507,0.5338,0.4923
6.0,6.16,1040.0,0.45,0.69,11.0,0.55,0.4491,0.534,0.4916
7.0,0.78,1088.0,0.67,0.27,22.0,0.95,0.4463,0.5295,0.4879
8.0,10.98,1800.0,0.78,0.97,60.0,0.59,0.4586,0.5453,0.502
9.0,12.0,718.0,0.2,0.1,6.0,0.96,0.4419,0.5252,0.4836
10.0,7.83,1131.0,0.36,0.83,20.0,0.64,0.4505,0.5382,0.4944
11.0,2.9,477.0,0.99,0.08,50.0,0.9,0.4483,0.5302,0.4892
12.0,0.21,240.0,0.73,0.71,50.0,0.91,0.45,0.5336,0.4918
13.0,7.23,220.0,0.63,0.86,23.0,0.56,0.4495,0.5326,0.491
14.0,6.29,997.0,0.64,0.73,57.0,0.66,0.45399999999999996,0.5388,0.4964
15.0,2.48,1038.0,0.57,0.76,50.0,0.86,0.4538,0.5361,0.4949
16.0,10.5,1309.0,0.12,0.04,5.0,0.71,0.4422,0.5253,0.4838
17.0,6.36,1535.0,0.26,0.91,28.0,0.75,0.4531,0.5397,0.4964
18.0,4.65,1635.0,0.17,0.3,59.0,0.54,0.4469,0.5326,0.4897
19.0,12.7,1124.0,0.19,0.81,57.0,0.94,0.4513,0.5381,0.4947
20.0,16.17,911.0,0.12,0.32,17.0,0.95,0.4437,0.528,0.4858
21.0,16.38,522.0,0.52,0.02,29.0,0.93,0.4432,0.5264,0.4848
22.0,2.49,1435.0,0.33,0.94,35.0,0.67,0.4551,0.5401,0.4976
23.0,7.34,671.0,0.26,0.96,33.0,0.99,0.4513,0.5379,0.4946
24.0,5.77,629.0,0.51,0.61,7.0,0.52,0.4468,0.5316,0.4892
25.0,18.17,559.0,0.49,0.15,63.0,0.62,0.4464,0.5289,0.4877
26.0,13.48,1301.0,0.73,0.25,26.0,0.88,0.4473,0.5316,0.4895
27.0,12.71,454.0,0.84,0.1,23.0,0.77,0.4455,0.5273,0.4864
28.0,0.91,530.0,0.03,0.68,34.0,0.8,0.4476,0.5325,0.49
29.0,12.94,361.0,0.39,0.69,60.0,0.59,0.449,0.534,0.4915
30.0,6.89,1353.0,0.88,0.93,19.0,0.56,0.4546,0.5398,0.4972
31.0,16.36,1804.0,0.25,0.53,9.0,0.78,0.4481,0.5337,0.4909
32.0,18.02,1804.0,0.36,0.35,47.0,0.82,0.4483,0.5325,0.4904
33.0,17.75,1807.0,0.09,0.65,13.0,0.89,0.4492,0.5348,0.4920000000000001
34.0,12.17,405.0,0.67,0.11,4.0,0.5,0.4431,0.5258,0.4845
35.0,11.02,550.0,0.23,0.66,46.0,0.85,0.4481,0.5331,0.4906
36.0,6.58,1179.0,0.85,0.65,43.0,0.87,0.4541,0.5387,0.4964
37.0,1.96,846.0,0.25,0.27,62.0,0.68,0.4466,0.5301,0.4883
